lat,lon,alt,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,time
38.861942469,121.662466418,0.0,-0.19373154697137057,-0.018500490071139894,3.1227430976682546,-0.1121119975780445,-1.1127065188006944,1.109,0.133,0.359,-0.014834278212982078,0.052387269195403575,0.026930906716508406,-0.014834278212982078,0.052387269195403575,0.026930906716508406,-0.1086,-0.04,0.0033,-0.1086,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.24200000000019,86.24200000000019
38.861943833,121.662461657,0.0,-0.20158552860534507,-0.02199114857512855,3.1236157622942518,1.5142561532827847,-4.132270789271674,1.109,0.133,0.359,-0.01307310612770203,0.029903318600019126,0.029576398938402033,-0.01307310612770203,0.029903318600019126,0.029576398938402033,-0.0461,-0.03,0.0011,-0.0461,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.34199999999964,86.34199999999964
38.861944292,121.662458632,0.0,-0.1975712713257581,-0.02652900463031381,3.123092163518653,0.5095750882958069,-2.6255283053262444,1.297,-0.227,0.047,0.9149124588921607,-1.779379912999289,-1.5031437979454556,0.9149124588921607,-1.779379912999289,-1.5031437979454556,0.0913,-0.01,-0.0184,0.0913,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.54599999999937,86.54599999999937
38.86194452,121.662457142,0.0,-0.18500490071139894,-0.02775073510670984,3.121346834266659,0.12407950239495759,-0.6339389126462612,1.297,-0.227,0.047,-0.004752874421097323,-0.030914749597533583,-0.016798196609256327,-0.004752874421097323,-0.030914749597533583,-0.016798196609256327,0.1598,-0.0,-0.0219,0.1598,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.64699999999993,86.64699999999993
38.86194475,121.662455653,0.0,-0.16615534478986016,-0.028274333882308142,3.119077906239066,0.25281430509919633,-1.2795717102345954,1.297,-0.227,0.047,-0.005289918401757562,-0.03937018050744735,-0.040727071744117695,-0.005289918401757562,-0.03937018050744735,-0.040727071744117695,0.2168,-0.0,-0.0205,0.2168,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74699999999939,86.74699999999939
38.861944982,121.662454164,0.0,-0.14294246573833558,-0.028797932657906436,3.117681642837471,0.2575627455260076,-1.2923673819352113,1.297,-0.227,0.047,-0.003440972214605279,-0.030387373868399303,-0.04832868465421207,-0.003440972214605279,-0.030387373868399303,-0.04832868465421207,0.246,-0.01,-0.0079,0.246,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.84699999999975,86.84699999999975
38.861945449,121.662451148,0.0,-0.09145525280450287,-0.032812189937493394,3.1192524391642658,0.5184562293305074,-2.617716623767448,1.297,-0.227,0.047,0.00018674309896250774,-0.005792183273307827,-0.03099208414630233,0.00018674309896250774,-0.005792183273307827,-0.03099208414630233,0.2588,-0.03,0.0206,0.2588,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.04899999999998,87.04899999999998
38.861945675,121.662449666,0.0,-0.06667157742618339,-0.03647738136668149,3.1218704330422575,0.12420889944186098,-0.6367781263392864,1.297,-0.227,0.047,0.0034579203579813314,0.018298820998402437,-0.006628789195633377,0.0034579203579813314,0.018298820998402437,-0.006628789195633377,0.235,-0.04,0.0242,0.235,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.14899999999943,87.14899999999943
38.861945899,121.662448174,0.0,-0.045029494701453704,-0.04084070449666731,3.1246629598454483,0.24868181045840024,-1.2949712720184048,1.297,-0.227,0.047,0.003700101771166865,0.022847707603361318,0.008896607116218678,0.003700101771166865,0.022847707603361318,0.008896607116218678,0.1986,-0.05,0.0247,0.1986,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2489999999998,87.2489999999998
38.861944081,121.662446837,0.0,-0.027401669256310976,-0.04520402762665313,3.1269318878730408,-2.018201887131331,-1.1604626840834402,1.297,-0.227,0.047,0.0027542294494641846,0.019152019951025372,0.01720848540034487,0.0027542294494641846,0.019152019951025372,0.01720848540034487,0.149,-0.04,0.0157,0.149,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.34900000000016,87.34900000000016
38.861944329,121.662443715,0.0,-0.007155849933176751,-0.052708943410228755,3.1278045524990374,0.27533925617972715,-2.709721248944935,1.336,-0.117,-0.344,0.19130231465566583,0.542171812161196,-1.9007544099098685,0.19130231465566583,0.542171812161196,-1.9007544099098685,0.0201,-0.01,-0.0101,0.0201,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.55199999999968,87.55199999999968
38.861944452,121.662442184,0.0,-0.006806784082777886,-0.052883476335428184,3.1267573549478413,0.06727057817305097,-0.6545922497732585,1.336,-0.117,-0.344,-0.0006426942389871794,-0.012976379032552884,0.0018923773705943007,-0.0006426942389871794,-0.012976379032552884,0.0018923773705943007,-0.0155,0.01,-0.0118,-0.0155,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.65200000000004,87.65200000000004
38.861944577,121.662440645,0.0,-0.00942477796076938,-0.05166174585903215,3.125535624471445,0.13877962087025214,-1.3357658102657133,1.336,-0.117,-0.344,-0.005573196276969801,-0.025126765496023724,-0.013221623796327771,-0.005573196276969801,-0.025126765496023724,-0.013221623796327771,-0.0367,0.02,-0.011,-0.0367,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7529999999997,87.7529999999997
38.861944703,121.662439107,0.0,-0.013788101090755204,-0.049567350756638956,3.1246629598454483,0.1385047006823629,-1.3216810471423877,1.336,-0.117,-0.344,-0.008194832081797618,-0.026432830581675833,-0.023024574198693224,-0.008194832081797618,-0.026432830581675833,-0.023024574198693224,-0.0491,0.02,-0.0037,-0.0491,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.85300000000007,87.85300000000007
38.861944958,121.662436001,0.0,-0.026354471705114377,-0.045553093477052,3.124313893995049,0.28311024161638476,-2.6958339736681562,1.336,-0.117,-0.344,-0.006959879790686116,-0.023079970698331065,-0.019462188682144447,-0.006959879790686116,-0.023079970698331065,-0.019462188682144447,-0.0734,0.01,0.0011,-0.0734,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.05499999999938,88.05499999999938
38.861945085,121.662434463,0.0,-0.033510321638291124,-0.04485496177625427,3.124313893995049,0.0698019608092465,-0.6608405062437298,1.336,-0.117,-0.344,-0.0023759589268037935,-0.02433334777876412,-0.00103843372986334,-0.0023759589268037935,-0.02433334777876412,-0.00103843372986334,-0.0702,0.0,-0.0046,-0.0702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.15499999999975,88.15499999999975
38.861945212,121.662432925,0.0,-0.03961897402027128,-0.045029494701453704,3.1236157622942518,0.14099996921613786,-1.3348978129445508,1.336,-0.117,-0.344,-0.00029920449277040485,-0.030546385647083292,0.009079678286361099,-0.00029920449277040485,-0.030546385647083292,0.009079678286361099,-0.0484,-0.0,-0.0095,-0.0484,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.25500000000011,88.25500000000011
38.861942483,121.662435078,0.0,-0.04328416544945937,-0.04520402762665313,3.122394031817856,-3.029559744832283,1.8686544040977768,1.336,-0.117,-0.344,-0.0009910370116939901,-0.0291978651822575,0.005952553081454455,-0.0009910370116939901,-0.0291978651822575,0.005952553081454455,-0.0204,0.0,-0.0157,-0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.35499999999956,88.35499999999956
38.861942102,121.662432274,0.0,-0.041189770347066175,-0.04258603374866164,3.118903373313867,-0.4229340523198375,-2.43372192860057,1.188,0.234,-0.188,-0.7284549341187994,1.6934367439363305,0.7418708213693961,-0.7284549341187994,1.6934367439363305,0.7418708213693961,0.0403,0.03,-0.0152,0.0403,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.55999999999949,88.55999999999949
